-1,,NULL
0,37.2.130,NAUES MERCATORIAE HOLLANDICAE INDIAS OCCIDENTALES HotDogs
1,39.1.400,GRANDE MATINÉE DE BIENFAISANCE EN L'HONNEUR DES POILUS DES RÉGIONS ENVAHIES
2,79.22,MEN OF EUROPE
3,76.37.5.K,SINGLE-COIL BRACELET
4,64.29.2,"THE FIRST CORNET, STRESHNEV"
5,81.12.1.E,"UNTITLED (FROM ""DOGS"")"
6,69.44,URBAN RENEWAL
7,P2172,A STUDY
8,EL.84.6.214,NEPTUNE
9,P1244,"SPRING, CENTRAL PARK"
10,84.26.118,PAGE FROM SKETCHPAD
11,77.52.3,"MIDNIGHT + NOON III (FROM THE PORTFOLIO ""MIDNIGHT AND NOON"")"
12,77.52.6,"MIDNIGHT + NOON VI (FROM THE PORTFOLIO ""MIDNIGHT AND NOON"")"
13,TL.99.21.3,"GENERAL WASHINGTON [LONDON, PUBLISHED BY V. GREEN, NO. 29, NEWMAN STREET, JANUARY 15, 1781]"
14,39.1.370,UN PUEBLO UNA PATRIA!
15,75.4,PORTRAIT OF PINK HORWITT
16,TL.97.42.96,REAL'NOST' NASHEI PROGRAMMY (THE REALITY OF OUR PROGRAM)
17,EL.89.1.2,BLACK MAN AT A PIANO
18,60.13,"MADONNA OF HUMILITY, WITH ANGELS"
19,92.17.42.F,"OLD PIER AND FISH HOUSES, MAGNOLIA, MASS"
20,81.19.F,"UNTITLED (FROM ""SONG OF SONGS WHICH IS SOLOMON'S"")"
21,81.19,"THE SONG OF SONGS (WITH TEXT FROM ""SONG OF SOLOMON"") (LEAD SCREEN)"
22,81.19.D,"UNTITLED (FROM ""SONG OF SONGS WHICH IS SOLOMON'S"")"
23,TL.90.1.15,NYMPH AND GOAT
24,96.30.10,SURF I
25,TL.93.136.47,CARICATURE OF PAUL WHITEMAN
26,TL.2000.10.2,UNTITLED (SEE M.2000.7 AND RC.56.1-3)
27,99.16.24,VICTIMS
28,P1036,"WENTWORTH, NEW HAMPSHIRE"
29,83.19.A,"UNTITLED (FROM ""TOD: CAGE WITHOUT BARS"")"
30,83.19,TOD: CAGE WITHOUT BARS (LEAD SCREEN)
31,83.19.B,"UNTITLED (FROM ""TOD: CAGE WITHOUT BARS"")"
32,83.19.C,"UNTITLED (FROM ""TOD: CAGE WITHOUT BARS"")"
33,83.19.E,"UNTITLED (FROM ""TOD: CAGE WITHOUT BARS"")"
34,A.2.5,LAWRENCE HALL
35,81.12.1.F,"UNTITLED (FROM ""DOGS"")"
36,79.53.B,"SAFEGUARDING OF LIFE (FROM ""STRUGGLE IN THE WEST: THE BOMBING OF LONDON"")"
37,81.46.7,EMBOSSED LINEAR CONSTRUCTION 1-D
38,82.21.6.D,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
39,82.21.6.I,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
40,77.53.29,UNTITLED (D. XVIII)
41,80.25.3.C,"UNTITLED (FROM ""THE DOMESTIC LIFE OF THE RAINBOW"")"
42,80.25.3.H,"UNTITLED (FROM ""THE DOMESTIC LIFE OF THE RAINBOW"")"
43,TL.99.13,LA BONNE EDUCATION (WCMA LOAN REQUEST WITHDRAWN)
44,72.42,CHURCH
45,79.23,SILVER GROTTO / YELLOW GROTTO
46,RC.36.9,FALCON
47,TL.93.81.5,BASKET WITH BUTTERFLY DESIGN
48,WP.45,"PORTRAIT OF DANIEL NOBLE, CLASS OF 1796, TRUSTEE 1809-1830, SECRETARY 1805-1814, TREASURER 1814-1830"
50,P2196,UNTITLED
51,81.31.84,THREE MEN
52,P532A,"SMALL FISHING BOATS, TRÉPORT, FRANCE"
53,57.3,MEMORIAL DAY
54,P1792,"BEACH SCENE, ST. MALO"
55,43.2.150,DECORATED DESK CHEST OR BIBLE BOX
56,81.46.6,EMBOSSED LINEAR CONSTRUCTION 1-C
57,81.46.10,EMBOSSED LINEAR CONSTRUCTION 2-C
58,TL.93.157.20,"THE APSE OF THE CATHEDRAL OF NOTRE DAME, STATE IV/VIII"
59,82.21.6.O,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
60,82.21.6.F,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
61,81.12.1.M,"UNTITLED (FROM ""DOGS"")"
62,TL.97.33.1,NEW HAMPSHIRE HILLSIDE
63,77.42.1,"CONSTRUCTION DETAIL, SOUTH WALL, UNITED AMERICAN VAN AND STORAGE, 2841 ALTON IRVINE (FROM ""NEW INDUSTRIAL PARKS"")"
64,52.1,PAIR OF BEAKERS MOUNTED AS LAMPS
65,EL.83.13.13,FLASH UNIT WITH LEATHER CASE
66,77.52.1,"MIDNIGHT + NOON I (FROM THE PORTFOLIO ""MIDNIGHT AND NOON"")"
67,77.52.8,"MIDNIGHT + NOON VIII (FROM THE PORFOLIO ""MIDNIGHT AND NOON"")"
68,43.2.30,WINDSOR SETTEE
69,99.10.L,"SOUL (FROM ""WORD"")"
70,48.3,VIRGIN(?) WITH THREE APOSTLES(?) PRAYING
71,88.6.34,"HORSE BRASS,DOME IN SCALLOPED CIRCLE"
72,61.8,RIVER SCENE
73,82.21.3.A,STAR SPACE NIGHTLIGHT MILKYWAY CENTER BY EARTH HOUR
74,82.21.3.C,STAR SPACE DAYLIGHT MILKYWAY CENTER BY EARTH HOUR
75,TL.99.17.6.B,THE WATCHING
76,92.5.30.C,THE GIANT SLOTTERS
77,92.5.30.F,NIGHT SHIFT WORKING THE GREAT GUN
78,TL.98.3.13,CUPID AS A LINK BOY
79,82.21.6.K,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
80,92.22.48,SHELTER ISLAND
81,EL.78.9,SEE 96.9
82,80.25.3.A,"UPON THE PUN: DUAL MEANING IN WORDS AND PICTURES (FROM ""THE DOMESTIC LIFE OF THE RAINBOW"")"
83,80.25.3.G,"UNTITLED (FROM ""THE DOMESTIC LIFE OF THE RAINBOW"")"
84,56.16.30.A,ROMAN RUINS
85,60.39.6.D,AMULET OF APET
86,P1916,LE BAC: DINARD
87,81.13.65,JETS
88,92.17.25.A,COVERED BRIDGE
89,P1781,WOMAN AT A PARIS CAFE
90,TL.95.10.1,"UNTITLED:  KEENE VALLEY, ADIRONDACKS, NY"
91,P309,STILL LIFE
92,76.37.15.A,CROSS PENDANT
93,75.43.38.D,GENII
94,87.19.13,"UNTITLED (FROM ""CHIAROSCURO"")"
95,87.19.2,"UNTITLED (FROM ""CHIAROSCURO"")"
96,87.19.7,"UNTITLED (FROM ""CHIAROSCURO"")"
97,92.22.60,"IMP STRUCTURE (FROM ""PINK DUALITY SERIES"")"
98,P763,BED OF FLOWERS
99,P2221,TREES AND DANCERS
100,TL.98.32.7,THE DOVE
101,77.9.15,CALLIGRAPHIC
102,TL.94.49.3,CUT STENCIL
103,74.7.E,"TEMPERATURE (FROM ""EARTH PROJECTS"")"
104,84.30.D,"PAESAGGIO, BAIA DELLE ZAGARE (FROM ""COLOR NATURE LANDSCAPES I"")"
105,84.30.J,"CLOUDS FORMING OVER MT. BAKER, WASHINGTON (FROM ""COLOR NATURE LANDSCAPES I"")"
106,95.5.3,LANDSCAPE
107,82.18.21,"UNTITLED: ARM, BREAST AND HAND (FROM ""IF AND SILK"")"
108,82.18.24,"UNTITLED (FROM ""IF AND SILK"")"
109,82.18.25,"UNTITLED: BREAST AND ARM (FROM ""IF AND SILK"")"
110,93.1.12.I,FRAGMENT OF AMULET (?) OF TUAMUTEF [OR ANUBIS]
111,88.2.4,12 XEROX STUDIES FOR DISHWARE (LEAD SCREEN)
112,88.2.4.B,"STUDY FOR DISHWARE: ""THE ELEMENTS"""
113,88.2.4.J,STUDY FOR GEOMETER'S CHESS
114,88.2.4.K,STUDY FOR GEOMETER'S CHESS
115,93.1.48,INTAGLIO WITH STANDING FIGURE
116,RC.22.12,HANDAXE
117,99.1.26,LET US HAVE A CLEAN SWEEP ALL AROUND NEW YORK.
118,RC.17.47,SKETCH OF A FOOT
119,49.17.104,HARPER'S WEEKLY PAGE WITH THREE CARTOONS ATTACHED
120,49.17.104.A,"THE BRITISH LION HOPES TO LIONIZE THE GREAT SOUTH-AFRICAN LION TAMER, IN LONDON"
121,56.16.32.C,ONE OF SIX SMALL FIGURINES AND HEADS
122,56.16.32.D,ONE OF SIX SMALL FIGURINES AND HEADS
123,79.60.I,"UNTITLED (FROM ""2 X 5 BATS"")"
124,P1082,ROAD TO THE VILLAGE
125,P661,BEACH NEAR GLOUCESTER
126,94.24.13,TUTS FEVER NECKPIECE
127,P777,CENTRAL PARK
128,87.14.2,LA VUE (FROM THE FIVE SENSES)
129,87.14.3,LE GOUT (FROM THE FIVE SENSES)
130,87.16.95,ANIMAL SCULPTURE
131,62.41.72,"ANIMAL LOCOMOTION, PLATE #780"
132,81.12.1.L,"UNTITLED (FROM ""DOGS"")"
133,P1802,CHILDREN AT PLAY
134,99.1.241,THE PRESS SPIES DOGGING ONE'S FOOTSTEPS.
135,68.38,PORTRAIT OF HARRIET WALTON DUNBAR
136,65.19,TOBACCO BOX
137,91.24.D,"D4 (FROM FIRST LIGHT, SERIES D)"
138,TL.93.24.2,"UNTITLED DRAWING FROM ""SATISFACTION"" SERIES"
139,79.48.B,"UNTITLED (FROM ""ALBUM"")"
140,39.4.2,SIDE CHAIR
141,EL.84.6.259,ANNUNCIATION
142,75.43.34,LAMPS
143,95.4.76,APPROACHING STORM
144,96.35.14,"UNTITLED (FROM ""SON OF BITCH"")"
145,55.6,CHIPPENDALE SHOWCASE
146,92.27.E,"WEDDING - HANDS AROUND BACK, N.Y.C. - JANUARY, 1988 (FROM ""SOCIAL CONTEXT"")"
147,92.27.H,"MILITARY APPARITION, N.Y.C. - SEPTEMBER, 1987 (FROM ""SOCIAL CONTEXT"")"
148,79.63.1,VOWELS-AEIOU
149,79.53.E,"UNTITLED (FROM ""STRUGGLE IN THE WEST: THE BOMBING OF LONDON"")"
150,P198,AUTUMN STUDY
151,37.2.9,BORDS DE LA TAMISE
152,TL.93.116.4,"DOORWAY, MAINE"
153,84.32.11,CLOTH WITH LEAF DESIGN
154,EL.84.6.190,TWO SIBYLS
155,82.21.6.E,"UNTITLED (FROM ""THE GATES TO TIMES SQUARE"")"
156,57.13,TULIP
157,77.53.30,UNTITLED (D. XX)
158,EL.84.24.4,UNTITLED
159,RC.7.7,"OURS.. TO FIGHT FOR, FREEDOM FROM WANT"
160,39.1.414,DEBOUT DANS LA TRANCHÉE..
161,TL.94.6.1,"ACTION:  CONSTRUCTION OF ""GUARDIAN"""
162,37.2.79,À VEUILLY (SEINE)
163,RC.5.101,"OBSERVATORY II. OOSTELIJK, FLEVOLAND, THE NETHERLANDS (AERIAL VIEW)"
164,88.3,VORTEX
165,75.27.E,"GEORGE BURROUGHS (FROM ""WITCHES OF SALEM"")"
166,83.19.F,"UNTITLED (FROM ""TOD: CAGE WITHOUT BARS"")"
167,81.12.1.D,"UNTITLED (FROM ""DOGS"")"
168,81.12.1.B,"UNTITLED (FROM ""DOGS"")"
169,81.12.1.C,"UNTITLED (FROM ""DOGS"")"
170,80.13.13,ABSTRACT COMPOSITION
171,P1538,MFA BOSTON SKETCHBOOK NO. 14
172,76.6.C,BOOK AND MIRROR
173,77.52.7,"MIDNIGHT + NOON VII (FROM THE PORTFOLIO ""MIDNIGHT AND NOON"")"
174,EL.84.6.438.B,"COPY OF ""ADAM & EVE"""
175,P483,PICNIC GROVE
176,92.3.15,"LIFE'S LITTLE JOKES-- NUMBER 735,962"
177,EL.88.122.5,A LA MEMOIRE DE J.M. JACQUARD
178,76.37.15.B,CROSS PENDANT
179,RC.15.7,PROJECT MODEL OF LAWRENCE HALL: AFTER COMPLETION OF PHASE II EXPANSION
180,77.52.5,"MIDNIGHT + NOON V (FROM THE PORTFOLIO ""MIDNIGHT AND NOON"")"
181,94.1.43,LAMPAS WITH FLORAL PATTERN
182,43.2.29,WINDSOR SETTEE
183,SEG.10.21,GRAVE POT
184,76.37.15.E,CROSS PENDANT
185,81.24.21,HAND-PROPELLED RACKMOBILE FOR CARRYING HOME WINNINGS FROM QUIZ PROGRAMS
186,91.18.23,DEER HUNT
187,TL.97.18.5,"THIS IS ""JIHAD""...THE HOLY WAR"
188,62.32.10,SHAWABTI
189,82.21.3.G,STAR SPACE NIGHTLIGHT SUN CENTER BY EARTH DEGREE
190,P1576,RED HAIRED LADY WITH HAT
191,56.16.4.B,"CART DECORATION, ""HOLY FAMILY"""
192,TL.98.26,"THE POETICAL, DRAMATIC, AND MISCELLANEOUS WORKS OF JOHN GAY, LONDON: PRINTED FOR EDWARD JEFFERY, 1795, VOL. 2"
193,59.21.13.B,RING WITH EYE OF HORUS
194,84.4,SALLY
195,TL.96.26.29,SEAFORM/BASKET DRAWING
196,1887.1.58,"COPY FROM TURNER, DIRECTED BY RUSKIN"
197,87.16.49,MALE HEAD
198,EL.81.3.6,LAWRENCE HALL ARCHITECTURAL DRAWINGS: LH-26.1
199,88.2.5,SUITE OF DRAWINGS FOR PITCHERS (7 DRAWINGS) (LEAD SCREEN)
200,TL.99.17.58,POETIC (CODA) #2 (CRAZY HEAD)
201,92.5.30.B,TABLE OF CONTENTS FOR MUNITION DRAWINGS
202,82.22.29,COMPOSITION #2
203,78.38.34,"PIG OR PERSON, IT'S THE SAME, FORTUNE PLAYS A FUNNY GAME (FROM ""GENERAL DYNAMIC F.U.N."")"
204,87.16.50,MALE HEAD
205,79.48.D,"UNTITLED (FROM ""ALBUM"")"
206,26.1.A,"TITLE PAGE (FROM ""SIX ETCHINGS OF WILLIAMSTOWN"")"
207,RC.15.1,"LAWRENCE HALL, INTERIOR"
208,83.24.10,"DRAWING FOR ""BODY WALL"""
209,37.2.144,EVENING ON THE COMMON
210,82.8.1,"DHANASRI RAGINI, PAGE FROM A DISPERSED RAGAMALA SET"
211,P1313,BATHERS AND STROLLERS
212,79.48.E,"UNTITLED (FROM ""ALBUM"")"
213,79.48.F,"UNTITLED (FROM ""ALBUM"")"
214,69.8,BOUILLOTE TABLE
215,39.4.8,SIDE CHAIR
216,79.61.A,"TITLE SHEET (FROM ""2 X 5 TROPHIES"")"
217,EL.86.5.1,BROOKLYN MUSEUM
218,TL.93.121.3,FORT DUMPLING
219,48.5.2,THE ADORATION OF THE MAGI
220,74.7.I,"HEDGES AND GRAVEL (FROM ""EARTH PROJECTS"")"
221,P275,ALONG THE COVE
222,26.1.C,"STETSON LIBRARY (FROM ""SIX ETCHINGS OF WILLIAMSTOWN"")"
223,26.1.F,"THOMPSON MEMORIAL CHAPEL (FROM ""SIX ETCHINGS OF WILLIAMSTOWN"")"
224,30.8,AMPULLA (PILGRIM FLASK)
225,TL.97.42.62,DA ZDRAVSTVUET KRASNAIA ARMIIA- VOORUZHENNYI OTRIAD PROLETARSKOI REVOLIUTSII! (LONG LIVE THE RED ARMY- THE ARMED DETACHMENT OF THE PROLETARIAN REVOLUTION!)
226,96.35.10,"UNTITLED (FROM ""SON OF BITCH"")"
227,96.35.12,"UNTITLED (FROM ""SON OF BITCH"")"
228,94.5,"SELMA MARCHERS APPROACHING MONTGOMERY, ALABAMA"
229,78.31.25,NETSUKE DEPICTING AN ELDER
230,85.41.4,DIAL SET SIX
231,TL.97.42.37,L'INTRANSIGÉANT
232,TL.97.42.116,PRO 2 KVADRATA (OF TWO SQUARES)
233,91.24,FIRST LIGHT (SERIES D) (LEAD SCREEN)
234,80.30.4,AREAS CONTRASTED
235,91.15.21,TAMING AN ELEPHANT
236,39.4.7,SIDE CHAIR
237,83.34.15.G,"FEET 102 (FROM ""75TH ANNIVERSARY PORTFOLIO"")"
238,TL.98.22.8,"MIAO SQUARE, ORANGE CENTRAL CIRCLE"
239,78.51.59,ASKEATON ABBEY
240,TL.93.135.44.A,"KING OF JAZZ, SCENE 21"
241,91.38.C,"PLACE DES VOSGES, PARIS (FROM SURVEY 1986)"
242,92.5.11,UNTITLED PLATE FROM A SET OF PRINTS OF ARCHITECTURAL ORNAMENT
243,92.5.9,UNTITLED PLATE FROM A SET OF PRINTS OF ARCHITECTURAL ORNAMENT
244,TL.2000.22.6,NO TITLE
245,TL.97.44.3,E&E DINING ROOM
246,57.27.F,ORVIETO
247,TL.97.42.83,GALERIE CORRAY
248,92.21.15,VENICE
249,67.2,PAYSAGE À LA FOLLE
250,56.16.4.A,"CART DECORATION, ""ST. GEORGE, EQUESTRIAN"""
251,83.24.21,"DRAWING FOR ""BODY WALL"""
252,83.34.7,PRAVA (CORSICA)
253,81.1.13,LONNIE'S MOODS: UNTITLED & UNTITLED
255,TL.96.26.30,SEAFORM/BASKET DRAWING
256,39.1.331,POUR LE SUPRÊME EFFORT
257,93.1.15.E,SCARAB AMULET
259,91.24.C,"D3 (FROM FIRST LIGHT, SERIES D)"
260,EL.92.23.4.I,THE TEMPTATION OF ST. ANTHONY VIII
261,80.29.4,GIRL AT WINDOW
262,79.36.18,1972 OLYMPIC POSTER
263,TL.93.160.2,THE RAISING OF LAZARUS
264,TL.93.159.2,THE POLITICAL GYMNASIUM
265,79.48,ALBUM (LEAD SCREEN)
266,79.48.G,"UNTITLED (FROM ""ALBUM"")"
267,39.4.1,SIDE CHAIR
268,79.61,2 X 5 TROPHIES (LEAD SCREEN)
269,81.31.53,CHARTRES CATHEDRAL
270,43.2.116,WINDSOR FAN-BACK WITH COMB SIDE CHAIR
271,78.22.59,CASITA BLANCA
272,56.16.30.B,FETE GALANTE
273,TL.96.58.1,"MARY ELLEN AND CHAD FROM ""LIVING WITH AIDS:  A PHOTOGRAPHIC JOURNAL"""
274,87.14.4,LE TOUCHER (FROM THE FIVE SENSES)
275,81.12.1.J,"UNTITLED (FROM ""DOGS"")"
276,TL.95.59.7,"SKETCHES FROM THE RIVER, DACCA"
277,82.26.61,EVERYBODY'S KIND ENOUGH TO OVERLOOK MY DRIBBLING
278,81.45.28,"LUMP IN LANDSCAPE, ATLANTA, GEORGIA"
279,77.52,MIDNIGHT AND NOON/SUITE OF 8/HOMAGE TO THE SQUARE (LEAD SCREEN)
280,62.32.16.D,AMULET(?) OF HAPY
281,76.37.15.C,CROSS PENDANT
282,49.17.62,"HARPER'S WEEKLY P.508 OF JULY 23, 1881 WITH TWO SMALL CARTOONS ATTACHED"
283,49.17.62.B,THE ALABAMA PLAN WORKS LIKE MAGIC
284,P801,THE PICNIC
285,TL.98.13.8,"TRIPOD BOWL WITH FIGURES, SERRATED RIM, TWO ZOOMORPHIC FIGURES"
286,92.17.37,CHILDREN IN THE FIELDS
287,91.15.32,"PORTRAIT OF A NOBLEMAN DRESSED IN WHITE, STANDING AGAINST A YELLOW BACKGROUND"
288,EL.79.5.7,SEE 96.35.7
289,56.14.J,GIRL READING
290,P791,CENTRAL PARK
291,78.32.4,CHARTE' I
292,81.19.C,"UNTITLED (FROM ""SONG OF SONGS WHICH IS SOLOMON'S"")"
293,39.1.357,POUR LE TRIOMPHE. SOUSCRIVEZ À L'EMPRUNT NATIONAL
294,56.16.32.E,ONE OF SIX SMALL FIGURINES AND HEADS
295,87.16.84,MALE FIGURE
296,74.7.C,"BURNING PETROLEUM (FROM ""EARTH PROJECTS"")"
297,74.7.H,"WATERFALL (FROM ""EARTH PROJECTS"")"
298,RC.5.25,"BLIND TIME III, NO. 4"
299,26.1.E,"WEST COLLEGE (FROM ""SIX ETCHINGS OF WILLIAMSTOWN"")"
300,26.1,SIX ETCHINGS OF WILLIAMSTOWN (LEAD SCREEN)
301,26.1.D,"CHAPIN HALL (FROM ""SIX ETCHINGS OF WILLIAMSTOWN"")"
302,56.16.32.B,HEAD OF A WOMAN; FRAGMENT OF TERRACOTTA FIGURINE
303,79.60.J,"UNTITLED (FROM ""2 X 5 BATS"")"
304,P1264,FISHING VILLAGE
305,CG.12,LEKYTHOS
306,96.7.2,FIGURE OF A SEATED WOMAN
307,P391,LADIES IN A SEASIDE ARBOR
308,83.34.15.A,"SAVOY DANCERS, HARLEM DOCUMENT (FROM ""75TH ANNIVERSARY PORTFOLIO"")"
309,PA.54.B,"WAIKIKI, CORAL GABLES"
310,TL.93.47.1,XHORKON SUMMER
311,EL.85.81.14,"CYRIL B. JOBSON VACATION HOUSE, PLAN DETAILS"
312,85.46.41,MAQUETTE FOR OVOID VARIATION NO.1
313,43.2.51,DOMED BOX WITH COVER
314,62.41.49,"ANIMAL LOCOMOTION, PLATE #646"
315,60.39.6.P,SEAL AMULET WITH HIEROGLYPHS
316,38.4.21.B,BOTTLE
317,95.8.A.2,"LEFT SIDE MIRROR FROM THE LIBRARY OF SOR JUANA INEZ DE LA CRUZ (FROM THE INSTALLATION, VENUS ENVY CHAPTER TWO:  THE HAREM AND OTHER ENCLOSURES, 1994)"
318,79.51.D,HAGEN VOR DER GIBBICHUNGENHALLE (FROM RING)
319,87.16.1,"HUNCHBACKED DWARF, COLIMA"
320,49.17.44,(OUR) COMPROMISE WITH THE SOUTH: TO HAVE THE UNION AS IT WAS
321,79.61.C,"UNTITLED (FROM ""2 X 5 TROPHIES"")"
322,79.61.I,"UNTITLED (FROM ""2 X 5 TROPHIES"")"
323,EL.84.6.260,VIRGIN WELCOMING ST. ELIZABETH
324,TL.95.14.11,FROM A YOUNG GIRL'S COLLECTION
325,TL.97.15.12,PORTRAIT HEAD OF EDITH
326,EL.83.3.3,LAWRENCE HALL ADDITION ARCHITECTURAL BLUEPRINTS: FLOOR PLANS
327,74.7,EARTH PROJECTS (LEAD SCREEN)
328,56.16.28.A,PITCHER WITH TWO HANDLES
329,78.22.20,UNA PUERTA AMARILLA
330,TL.97.15.6,HEAD OF A MAN
331,82.21.2.D,"VERTICAL GREEN, BLUE AND BLACK GUITAR (FROM ROMANTIC SUITE)"
332,95.4.1,PINK AND BLUE
333,P1187,CENTRAL PARK
334,94.1.54,SWELL-FRONT FOUR DRAWER CHEST
335,92.17.140,WAITING FOR THE GUEST
336,M.2004.13.3,FRANKLIN PARK
337,P2,"DINARD, VIEW OF ST. MALO"
338,92.22.34,"PLAYGROUND NY, NY 1947"
339,46.6.10.A,NAIL
340,93.1.14.J,ANIMAL AMULET
341,TL.2000.25.2,UNTITLED
342,82.18.1,"1969 NEW YORK CITY, NEW YORK (FROM ""WOMEN ARE BETTER THAN MEN.  NOT ONLY HAVE THEY SURVIVED, THEY DO PREVAIL."")"
343,82.18.8,"1980 BEVERLY HILLS, CALIFORNIA (FROM ""WOMEN ARE BETTER THAN MEN.  NOT ONLY HAVE THEY SURVIVED, THEY DO PREVAIL."")"
344,81.45.39,THE OAKLAND MUSEUM
345,34.6.17,SMALL JUG WITH HANDLES
346,41.15.53,CROW
347,77.31.1,MARIONETTE
348,96.35.1,"UNTITLED (FROM ""SON OF BITCH"")"
349,96.35.2,"UNTITLED (FROM ""SON OF BITCH"")"
350,TL.96.67.1,"A PORTFOLIO OF PHOTOGRAPHS BY EVA RUBINSTEIN, SHOULD CONTAIN 12 PHOTOGRAPHS;  (WCMA RECEIVED 3 TITLE PAGES FOR EDITIONS 16 AND 17 AND ONE UNNUMBERED EDITION; 3 TEXT PAGES BY JOHN VACHON; 2 TEXT PAGES BY EVA RUBINSTEIN; 3 TABLE OF CONTENTS PAGES; 1 EMPTY M"
351,80.46.57,"UNTITLED (FROM ""SON OF BITCH"")"
352,P833,NAHANT
353,82.21.3.E,STAR SPACE DAYLIGHT SUN CENTER BY EARTH DEGREE
354,82.21.3,STAR SPACE (SET OF 4 SHEETS) (LEAD SCREEN)
355,82.21.3.D,STAR SPACE DAYLIGHT MILKYWAY CENTER BY EARTH HOUR
356,94.8.8,GRACE CHAPIN HALL FROM THE WEST
357,56.16.4.C,"CART DECORATION, ""VIRGIN IN GLORY WITH TWO CHERUBS"""
358,85.43,POEMS OF JULIUS LAFARGE
359,79.75.17,POT SHERD
360,78.51.61,"THE ABBEY, SLIGO"
361,91.38.A,"GODDESS, HISTORY (FROM SURVEY 1986)"
362,76.9,ODE TO CHARLES IVES
363,TL.98.10.4,THE CURE
364,57.27.H,VENICE
365,74.7.A,"MOUNDS AND TRENCHES (FROM ""EARTH PROJECTS"")"
366,74.7.F,"STEAM (FROM ""EARTH PROJECTS"")"
367,RC.22.47,INCISED BLADE
